Model,Task,Baseline,Replay_Ratio,Wiki_PPL,Replay_Pct
GPT-2 Medium,SST2,48.9,0.0,100.9551,0%
GPT-2 Medium,SST2,48.9,0.1,36.3524,10%
GPT-2 Medium,SST2,48.9,0.2,32.85,20%
GPT-2 Medium,SNLI,48.9,0.0,123.0252,0%
GPT-2 Medium,SNLI,48.9,0.1,36.6237,10%
GPT-2 Medium,SNLI,48.9,0.2,32.4617,20%
GPT-2 Medium,SQuAD,48.9,0.0,52.6291,0%
GPT-2 Medium,SQuAD,48.9,0.1,34.6767,10%
GPT-2 Medium,SQuAD,48.9,0.2,32.208,20%
Qwen-1.5B,SST2,25.85,0.0,56.5159,0%
Qwen-1.5B,SST2,25.85,0.1,22.3434,10%
Qwen-1.5B,SST2,25.85,0.2,20.2564,20%
Qwen-1.5B,SNLI,25.85,0.0,52.4669,0%
Qwen-1.5B,SNLI,25.85,0.1,22.3645,10%
Qwen-1.5B,SNLI,25.85,0.2,19.4929,20%
Qwen-1.5B,SQuAD,25.85,0.0,34.3392,0%
Qwen-1.5B,SQuAD,25.85,0.1,18.3125,10%
Qwen-1.5B,SQuAD,25.85,0.2,17.4501,20%
OpenLLaMA-3B,SST2,83.71,0.0,2349.8559,0%
OpenLLaMA-3B,SST2,83.71,0.1,341.6079,10%
OpenLLaMA-3B,SST2,83.71,0.2,290.0441,20%
OpenLLaMA-3B,SNLI,83.71,0.0,3618.9569,0%
OpenLLaMA-3B,SNLI,83.71,0.1,357.0228,10%
OpenLLaMA-3B,SNLI,83.71,0.2,282.4639,20%
OpenLLaMA-3B,SQuAD,83.71,0.0,2290.3889,0%
OpenLLaMA-3B,SQuAD,83.71,0.1,306.0973,10%
OpenLLaMA-3B,SQuAD,83.71,0.2,271.7736,20%
